[2023/06/04 18:50:12] - Namespace(activation='relu', l2=0, l1=0, act_beta_l2=5, act_beta_clip=0.1, batch_size=128, data_dir='/data/xuwang_yin/Projects/adversarial-corruptions/datasets/imagenet100', epochs=100, lr_schedule='piecewise', lr_max=0.1, attack='pgd', epsilon=128, attack_iters=10, attack_iters_test=20, restarts=1, pgd_alpha=19.125, norm='l_2', fname='imagenet100_l2_vr_0.5', seed=0, half=False, width_factor=10, resume=0, cutout=False, cutout_len=None, mixup=False, mixup_alpha=None, eval=False, chkpt_iters=10, var_reg_type='var', var_reg=0.5, var_norm='l_2', logits_reg=True, reg_only_correct=False, trades=False, trades_beta=6.0)
[2023/06/04 18:50:13] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2023/06/04 19:26:06] - 0 	 2112.0 	 	 41.0 	 	 0.1000 	 4.6585 	 0.0147 	 4.8198 	 	 0.0136 	 	 5.4120 	 0.0094 	 5.4376 	 	 0.0092
[2023/06/04 20:00:55] - 1 	 2047.5 	 	 40.7 	 	 0.1000 	 4.4443 	 0.0325 	 4.5137 	 	 0.0297 	 	 11.0292 	 0.0172 	 11.1954 	 	 0.0172
[2023/06/04 20:35:47] - 2 	 2050.9 	 	 40.8 	 	 0.1000 	 4.0727 	 0.0834 	 4.2539 	 	 0.0736 	 	 4.4301 	 0.0722 	 4.4881 	 	 0.0676
[2023/06/04 21:10:36] - 3 	 2048.4 	 	 40.8 	 	 0.1000 	 3.6267 	 0.1634 	 3.9292 	 	 0.1405 	 	 4.0055 	 0.1072 	 4.0803 	 	 0.0968
[2023/06/04 21:45:36] - 4 	 2058.3 	 	 40.6 	 	 0.1000 	 3.1950 	 0.2498 	 3.6142 	 	 0.2107 	 	 11.8263 	 0.0670 	 12.1699 	 	 0.0610
[2023/06/04 22:20:55] - 5 	 2078.8 	 	 40.6 	 	 0.1000 	 2.8818 	 0.3190 	 3.3790 	 	 0.2676 	 	 4.1677 	 0.1542 	 4.4075 	 	 0.1362
[2023/06/04 22:55:49] - 6 	 2053.4 	 	 40.6 	 	 0.1000 	 2.6714 	 0.3673 	 3.2201 	 	 0.3054 	 	 8.1026 	 0.1058 	 8.4191 	 	 0.0924
[2023/06/04 23:30:24] - 7 	 2034.1 	 	 40.7 	 	 0.1000 	 2.5200 	 0.4037 	 3.1042 	 	 0.3349 	 	 3.3940 	 0.2178 	 3.5435 	 	 0.1934
[2023/06/05 00:05:24] - 8 	 2059.1 	 	 40.5 	 	 0.1000 	 2.4003 	 0.4334 	 3.0141 	 	 0.3577 	 	 4.8308 	 0.2256 	 5.0610 	 	 0.1936
[2023/06/05 00:40:19] - 9 	 2053.5 	 	 40.6 	 	 0.1000 	 2.3161 	 0.4543 	 2.9514 	 	 0.3736 	 	 4.0132 	 0.2074 	 4.2770 	 	 0.1804
[2023/06/05 01:15:31] - 10 	 2071.5 	 	 40.6 	 	 0.1000 	 2.2386 	 0.4743 	 2.8910 	 	 0.3894 	 	 3.5016 	 0.2708 	 3.7971 	 	 0.2380
[2023/06/05 01:50:58] - 11 	 2085.4 	 	 40.8 	 	 0.1000 	 2.1774 	 0.4876 	 2.8454 	 	 0.4012 	 	 5.2170 	 0.1342 	 5.5747 	 	 0.1088
[2023/06/05 02:26:32] - 12 	 2092.9 	 	 41.0 	 	 0.1000 	 2.1252 	 0.5037 	 2.8065 	 	 0.4126 	 	 3.2899 	 0.2674 	 3.5327 	 	 0.2358
[2023/06/05 03:01:42] - 13 	 2069.6 	 	 40.6 	 	 0.1000 	 2.0741 	 0.5154 	 2.7682 	 	 0.4201 	 	 3.5321 	 0.2538 	 3.8006 	 	 0.2186
[2023/06/05 03:36:47] - 14 	 2064.7 	 	 40.6 	 	 0.1000 	 2.0330 	 0.5274 	 2.7375 	 	 0.4299 	 	 15.6467 	 0.0634 	 16.2162 	 	 0.0552
[2023/06/05 04:12:16] - 15 	 2087.9 	 	 40.6 	 	 0.1000 	 1.9931 	 0.5378 	 2.7079 	 	 0.4374 	 	 4.0903 	 0.2114 	 4.4613 	 	 0.1798
[2023/06/05 04:47:45] - 16 	 2088.8 	 	 40.6 	 	 0.1000 	 1.9620 	 0.5439 	 2.6825 	 	 0.4426 	 	 3.1847 	 0.3076 	 3.5324 	 	 0.2584
[2023/06/05 05:23:13] - 17 	 2087.0 	 	 40.7 	 	 0.1000 	 1.9406 	 0.5517 	 2.6680 	 	 0.4487 	 	 3.1542 	 0.2868 	 3.3865 	 	 0.2490
[2023/06/05 05:58:14] - 18 	 2060.0 	 	 40.6 	 	 0.1000 	 1.9060 	 0.5599 	 2.6410 	 	 0.4549 	 	 4.6506 	 0.1892 	 5.0956 	 	 0.1510
[2023/06/05 06:33:21] - 19 	 2065.8 	 	 40.9 	 	 0.1000 	 1.8815 	 0.5652 	 2.6230 	 	 0.4581 	 	 3.3518 	 0.2716 	 3.6472 	 	 0.2306
